epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,366.936,0.58676,1.44956,0.58459,0.97845,0.92061,0.38333,0.42102,0.2971,0.85772,0.37084,0.41029,0.23415,1.65358,2.80935,2.33002,1.40465,2.04848e-05,2.04848e-05,2.04848e-05
81,371.088,0.51181,1.29016,0.71515,1.00471,0.91214,0.38333,0.42415,0.29819,0.85433,0.37329,0.41182,0.2343,1.67107,2.81868,2.30443,1.40316,1.98016e-05,1.98016e-05,1.98016e-05
82,375.287,0.47496,1.31193,0.51798,0.9637,0.91214,0.38333,0.42415,0.29819,0.85433,0.37329,0.41182,0.2343,1.67107,2.81868,2.30443,1.40316,1.90949e-05,1.90949e-05,1.90949e-05
83,379.566,0.54723,1.27098,0.6907,1.01449,0.91214,0.38333,0.42415,0.29819,0.85433,0.37329,0.41182,0.2343,1.67107,2.81868,2.30443,1.40316,1.83646e-05,1.83646e-05,1.83646e-05
84,383.815,0.44671,1.37681,0.61653,0.944,0.9049,0.38333,0.42286,0.30023,0.85748,0.37542,0.41103,0.23116,1.67548,2.84176,2.33445,1.40415,1.76107e-05,1.76107e-05,1.76107e-05
85,387.763,0.54511,1.48454,0.70356,0.98281,0.9049,0.38333,0.42286,0.30023,0.85748,0.37542,0.41103,0.23116,1.67548,2.84176,2.33445,1.40415,1.68333e-05,1.68333e-05,1.68333e-05
86,391.95,0.69537,1.81958,0.89852,1.16183,0.9049,0.38333,0.42286,0.30023,0.85748,0.37542,0.41103,0.23116,1.67548,2.84176,2.33445,1.40415,1.60323e-05,1.60323e-05,1.60323e-05
87,396.153,0.56697,1.42276,0.73245,0.97157,0.9049,0.38333,0.42286,0.30023,0.85748,0.37542,0.41103,0.23116,1.67548,2.84176,2.33445,1.40415,1.52077e-05,1.52077e-05,1.52077e-05
88,400.205,0.64205,1.39284,0.74182,1.05145,0.89677,0.38333,0.42074,0.29864,0.85905,0.37666,0.41121,0.23215,1.68662,2.85573,2.3675,1.4143,1.43596e-05,1.43596e-05,1.43596e-05
89,404.16,0.69752,1.62553,0.8863,1.01075,0.89677,0.38333,0.42074,0.29864,0.85905,0.37666,0.41121,0.23215,1.68662,2.85573,2.3675,1.4143,1.34879e-05,1.34879e-05,1.34879e-05
